name,slug,shortdescription,longdescription,order,state,image,title,description,keywords
ASESORIA DE EMPRESAS,,ASESORIA DE EMPRESAS,ASESORIA DE EMPRESAS,1,1,categories/default.jpg,,,
ABOGADOS,,"los mejores abogados del peru, abogados peruanos, abogados peru, abogados de lima, abogados prestigiosos","los mejores abogados del peru, abogados peruanos, abogados peru, abogados de lima, abogados prestigiosos",2,1,categories/default.jpg,,,
ACADEMIAS,,"academias pre universitarias, academias de matematica, academias de karate, academias de taekondo, academias de ingles, academias de guitarra, academias de musica, academias de futbol, academias de basquet","academias pre universitarias, academias de matematica, academias de karate, academias de taekondo, academias de ingles, academias de guitarra, academias de musica, academias de futbol, academias de basquet",3,1,categories/default.jpg,,,
AGENCIA DE VIAJE,,"Agencia de viajes y turismo, agencias de viaje en Lima Peru, agencias de turismo, agencia especializada en viajes, agencia especializada en turismo, ","Agencia de viajes y turismo, agencias de viaje en Lima Peru, agencias de turismo, agencia especializada en viajes, agencia especializada en turismo, ",4,1,categories/default.jpg,,,
ARTEFACTOS,,ARTEFACTOS,ARTEFACTOS,5,1,categories/default.jpg,,,
ALARMAS,,ALARMAS,ALARMAS,6,1,categories/default.jpg,,,
ARTICULOS PARA BEBES,,ARTICULOS PARA BEBES,ARTICULOS PARA BEBES,7,1,categories/default.jpg,,,
ABARROTES,,"empresas que venden abarrotes, productos de consumo masivo, distribucion de productos de consumo masivo, leche, azucar, arroz, aceite, yogurt, etc","empresas que venden abarrotes, productos de consumo masivo, distribucion de productos de consumo masivo, leche, azucar, arroz, aceite, yogurt, etc",8,1,categories/default.jpg,,,
Mallas de Acero Inoxidable,,mallas de acero inoxidable para filtracion,mallas de acero inoxidable para filtracion,9,1,categories/default.jpg,,,
AGUA DE MESA,,AGUA DE MESA,AGUA DE MESA,10,1,categories/default.jpg,,,
AIRE ACONDICIONADO,,"Empresa especializada en aire acondicionado, venta de aire acondicionado, instalacion de aire acondicionado, mantenimiento de aire acondicionado, trabajos en aire acondicionado, aire acondicionado york, aire acondicionado lg, aire acondicionado samsung","Empresa especializada en aire acondicionado, venta de aire acondicionado, instalacion de aire acondicionado, mantenimiento de aire acondicionado, trabajos en aire acondicionado, aire acondicionado york, aire acondicionado lg, aire acondicionado samsung",11,1,categories/default.jpg,,,
ARTICULOS PARA FIESTA INFANTIL,,ARTICULOS PARA FIESTA INFANTIL,ARTICULOS PARA FIESTA INFANTIL,12,1,categories/default.jpg,,,
ASCENSORES,,ASCENSORES,ASCENSORES,13,1,categories/default.jpg,,,
AUTOMATIZACION INDUSTRIAL,,AUTOMATIZACION INDUSTRIAL,AUTOMATIZACION INDUSTRIAL,14,1,categories/default.jpg,,,
AUTOMOVILES,,AUTOMOVILES,AUTOMOVILES,15,1,categories/default.jpg,,,
ARTE Y PINTURA,,ARTE Y PINTURA,ARTE Y PINTURA,16,1,categories/default.jpg,,,
AUTOMOVILES REPUESTOS,,AUTOMOVILES REPUESTOS,AUTOMOVILES REPUESTOS,17,1,categories/default.jpg,,,
AVICOLAS Y GRANJAS,,AVICOLAS Y GRANJAS,AVICOLAS Y GRANJAS,18,1,categories/default.jpg,,,
AVISOS LUMINOSOS,,AVISOS LUMINOSOS,AVISOS LUMINOSOS,19,1,categories/default.jpg,,,
